"filename", "language", "PHP", "MS SQL", "HTML", "PostCSS", "XML", "comment", "blank", "total"
"/opt/lampp/htdocs/proyecto-mauri/fpdf/doc/settopmargin.htm", "HTML", 0, 0, 28, 0, 0, 0, 1, 29
"/opt/lampp/htdocs/proyecto-mauri/fpdf/doc/setx.htm", "HTML", 0, 0, 29, 0, 0, 0, 1, 30
"/opt/lampp/htdocs/proyecto-mauri/fpdf/doc/setxy.htm", "HTML", 0, 0, 31, 0, 0, 0, 1, 32
"/opt/lampp/htdocs/proyecto-mauri/fpdf/doc/sety.htm", "HTML", 0, 0, 33, 0, 0, 0, 1, 34
"/opt/lampp/htdocs/proyecto-mauri/fpdf/doc/text.htm", "HTML", 0, 0, 39, 0, 0, 0, 1, 40
"/opt/lampp/htdocs/proyecto-mauri/fpdf/doc/write.htm", "HTML", 0, 0, 51, 0, 0, 0, 1, 52
"/opt/lampp/htdocs/proyecto-mauri/fpdf/font/courier.php", "PHP", 10, 0, 0, 0, 0, 0, 1, 11
"/opt/lampp/htdocs/proyecto-mauri/fpdf/font/courierb.php", "PHP", 10, 0, 0, 0, 0, 0, 1, 11
"/opt/lampp/htdocs/proyecto-mauri/fpdf/font/courierbi.php", "PHP", 10, 0, 0, 0, 0, 0, 1, 11
"/opt/lampp/htdocs/proyecto-mauri/fpdf/font/courieri.php", "PHP", 10, 0, 0, 0, 0, 0, 1, 11
"/opt/lampp/htdocs/proyecto-mauri/fpdf/font/helvetica.php", "PHP", 21, 0, 0, 0, 0, 0, 1, 22
"/opt/lampp/htdocs/proyecto-mauri/fpdf/font/helveticab.php", "PHP", 21, 0, 0, 0, 0, 0, 1, 22
"/opt/lampp/htdocs/proyecto-mauri/fpdf/font/helveticabi.php", "PHP", 21, 0, 0, 0, 0, 0, 1, 22
"/opt/lampp/htdocs/proyecto-mauri/fpdf/font/helveticai.php", "PHP", 21, 0, 0, 0, 0, 0, 1, 22
"/opt/lampp/htdocs/proyecto-mauri/fpdf/font/symbol.php", "PHP", 20, 0, 0, 0, 0, 0, 1, 21
"/opt/lampp/htdocs/proyecto-mauri/fpdf/font/times.php", "PHP", 21, 0, 0, 0, 0, 0, 1, 22
"/opt/lampp/htdocs/proyecto-mauri/fpdf/font/timesb.php", "PHP", 21, 0, 0, 0, 0, 0, 1, 22
"/opt/lampp/htdocs/proyecto-mauri/fpdf/font/timesbi.php", "PHP", 21, 0, 0, 0, 0, 0, 1, 22
"/opt/lampp/htdocs/proyecto-mauri/fpdf/font/timesi.php", "PHP", 21, 0, 0, 0, 0, 0, 1, 22
"/opt/lampp/htdocs/proyecto-mauri/fpdf/font/zapfdingbats.php", "PHP", 20, 0, 0, 0, 0, 0, 1, 21
"/opt/lampp/htdocs/proyecto-mauri/fpdf/fpdf.css", "PostCSS", 0, 0, 0, 21, 0, 0, 1, 22
"/opt/lampp/htdocs/proyecto-mauri/fpdf/fpdf.php", "PHP", 1671, 0, 0, 0, 0, 167, 97, 1935
"/opt/lampp/htdocs/proyecto-mauri/fpdf/makefont/makefont.php", "PHP", 401, 0, 0, 0, 0, 23, 24, 448
"/opt/lampp/htdocs/proyecto-mauri/fpdf/makefont/ttfparser.php", "PHP", 648, 0, 0, 0, 0, 21, 46, 715
"/opt/lampp/htdocs/proyecto-mauri/fpdf/tutorial/CevicheOne-Regular.php", "PHP", 25, 0, 0, 0, 0, 0, 1, 26
"/opt/lampp/htdocs/proyecto-mauri/fpdf/tutorial/index.htm", "HTML", 0, 0, 20, 0, 0, 0, 1, 21
"/opt/lampp/htdocs/proyecto-mauri/fpdf/tutorial/makefont.php", "PHP", 4, 0, 0, 0, 0, 1, 2, 7
"/opt/lampp/htdocs/proyecto-mauri/fpdf/tutorial/tuto1.htm", "HTML", 0, 0, 75, 0, 0, 0, 2, 77
"/opt/lampp/htdocs/proyecto-mauri/fpdf/tutorial/tuto1.php", "PHP", 8, 0, 0, 0, 0, 0, 2, 10
"/opt/lampp/htdocs/proyecto-mauri/fpdf/tutorial/tuto2.htm", "HTML", 0, 0, 77, 0, 0, 0, 4, 81
"/opt/lampp/htdocs/proyecto-mauri/fpdf/tutorial/tuto2.php", "PHP", 27, 0, 0, 0, 0, 11, 4, 42
"/opt/lampp/htdocs/proyecto-mauri/fpdf/tutorial/tuto3.htm", "HTML", 0, 0, 108, 0, 0, 0, 8, 116
"/opt/lampp/htdocs/proyecto-mauri/fpdf/tutorial/tuto3.php", "PHP", 55, 0, 0, 0, 0, 19, 8, 82
"/opt/lampp/htdocs/proyecto-mauri/fpdf/tutorial/tuto4.htm", "HTML", 0, 0, 122, 0, 0, 0, 11, 133
"/opt/lampp/htdocs/proyecto-mauri/fpdf/tutorial/tuto4.php", "PHP", 81, 0, 0, 0, 0, 18, 11, 110
"/opt/lampp/htdocs/proyecto-mauri/fpdf/tutorial/tuto5.htm", "HTML", 0, 0, 129, 0, 0, 0, 6, 135
"/opt/lampp/htdocs/proyecto-mauri/fpdf/tutorial/tuto5.php", "PHP", 79, 0, 0, 0, 0, 18, 6, 103
"/opt/lampp/htdocs/proyecto-mauri/fpdf/tutorial/tuto6.htm", "HTML", 0, 0, 146, 0, 0, 0, 9, 155
"/opt/lampp/htdocs/proyecto-mauri/fpdf/tutorial/tuto6.php", "PHP", 95, 0, 0, 0, 0, 10, 9, 114
"/opt/lampp/htdocs/proyecto-mauri/fpdf/tutorial/tuto7.htm", "HTML", 0, 0, 176, 0, 0, 0, 7, 183
"/opt/lampp/htdocs/proyecto-mauri/fpdf/tutorial/tuto7.php", "PHP", 9, 0, 0, 0, 0, 0, 2, 11
"/opt/lampp/htdocs/proyecto-mauri/index.php", "PHP", 164, 0, 0, 0, 0, 2, 10, 176
"/opt/lampp/htdocs/proyecto-mauri/inventory.php", "PHP", 179, 0, 0, 0, 0, 4, 13, 196
"/opt/lampp/htdocs/proyecto-mauri/login.php", "PHP", 170, 0, 0, 0, 0, 2, 12, 184
"/opt/lampp/htdocs/proyecto-mauri/logout.php", "PHP", 23, 0, 0, 0, 0, 0, 1, 24
"/opt/lampp/htdocs/proyecto-mauri/new_appointment.php", "PHP", 200, 0, 0, 0, 0, 4, 15, 219
"/opt/lampp/htdocs/proyecto-mauri/recipt.php", "PHP", 73, 0, 0, 0, 0, 6, 15, 94
"/opt/lampp/htdocs/proyecto-mauri/register.php", "PHP", 200, 0, 0, 0, 0, 4, 14, 218
"/opt/lampp/htdocs/proyecto-mauri/review_car.php", "PHP", 206, 0, 0, 0, 0, 8, 10, 224
"/opt/lampp/htdocs/proyecto-mauri/service_request.php", "PHP", 189, 0, 0, 0, 0, 7, 12, 208
"/opt/lampp/htdocs/proyecto-mauri/user_chat.php", "PHP", 226, 0, 0, 0, 0, 5, 3, 234
"/opt/lampp/htdocs/proyecto-mauri/user_chat_messages.php", "PHP", 17, 0, 0, 0, 0, 0, 1, 18
"/opt/lampp/htdocs/proyecto-mauri/user_chat_send.php", "PHP", 17, 0, 0, 0, 0, 0, 1, 18
"/opt/lampp/htdocs/proyecto-mauri/user_navbar.php", "PHP", 84, 0, 0, 0, 0, 1, 1, 86
"/opt/lampp/htdocs/proyecto-mauri/user_settings.php", "PHP", 232, 0, 0, 0, 0, 3, 15, 250
"/opt/lampp/htdocs/proyecto-mauri/view_car.php", "PHP", 261, 0, 0, 0, 0, 6, 16, 283
"Total", "-", 7768, 468, 3261, 21, 13, 528, 710, 12769
